# TOPAS Version: 4.0
# Parameter File: GBScanningNozzle.txt
# Results for scorer: DoseOnRTGrid
# Filtered by: OnlyIncludeParticlesNamed = 1 "proton"
# Scored in component: ScoringCylinder
# R in 1 bin  of 0.495 cm
# Phi in 1 bin  of 360 deg
# Z in 583 bins of 0.0600343 cm
# DoseToMedium ( Gy ) : Mean   
LX,LY,LZ,DoseToWater (Gy)
0, 0, 208, 7.567477880409867e-11
0, 0, 209, 8.176994383381856e-11
0, 0, 210, 7.179964495796941e-11
0, 0, 211, 7.085999652459131e-11
0, 0, 212, 7.023254471396654e-11
0, 0, 213, 6.898335677836001e-11
0, 0, 214, 7.197323628332383e-11
0, 0, 215, 6.833197026679997e-11
0, 0, 216, 6.798754780394002e-11
0, 0, 217, 6.723937247628089e-11
0, 0, 218, 6.73400076060075e-11
0, 0, 219, 6.582399784693486e-11
0, 0, 220, 6.486079048942902e-11
0, 0, 221, 6.469953440613168e-11
0, 0, 222, 6.527762198531816e-11
0, 0, 223, 6.498920195552624e-11
0, 0, 224, 6.41666823710435e-11
0, 0, 225, 6.41082528284732e-11
0, 0, 226, 6.697658738769141e-11
0, 0, 227, 6.659045904136991e-11
0, 0, 228, 6.487723851509966e-11
0, 0, 229, 6.436149127935803e-11
0, 0, 230, 6.339036595270608e-11
0, 0, 231, 6.257812295858423e-11
0, 0, 232, 6.138075207146954e-11
0, 0, 233, 6.102432018679173e-11
0, 0, 234, 5.993213895094803e-11
0, 0, 235, 6.066220246270288e-11
0, 0, 236, 6.011203534321662e-11
0, 0, 237, 5.872279492904726e-11
0, 0, 238, 5.932206794139535e-11
0, 0, 239, 5.933763432365726e-11
0, 0, 240, 6.108880141853875e-11
0, 0, 241, 6.145501746862757e-11
0, 0, 242, 6.005700606413676e-11
0, 0, 243, 6.00181350310341e-11
0, 0, 244, 6.045643164655047e-11
0, 0, 245, 5.772768424895989e-11
0, 0, 246, 5.796912335733904e-11
0, 0, 247, 6.085161616050519e-11
0, 0, 248, 6.354010226835585e-11
0, 0, 249, 5.87318201320597e-11
0, 0, 250, 6.401341703269974e-11
0, 0, 251, 6.156146495770999e-11
0, 0, 252, 5.905628239518353e-11
0, 0, 253, 5.765593751321521e-11
0, 0, 254, 5.781455920331383e-11
0, 0, 255, 6.045207728201689e-11
0, 0, 256, 6.234632208508155e-11
0, 0, 257, 5.711802116940817e-11
0, 0, 258, 5.59158039507181e-11
